date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
05/05/2025,"MANION","Seven rounds of:•Run 400 meters•135/95 pound Back squat, 29 reps",2520,"42:00","","","[{""mins"":42}]","",SCALED,PR
05/06/2025,"Conditioning","3 Rounds25/20 Calorie Row20 Farmers Hold Step Ups 50s/35s to 20""25/20 Calorie RowRest 2:00Target Score: Sub 4:00 RoundsFeel: Muscle Overload Pace: Sustain",1365,"22:45","","","[{""secs"":45,""mins"":22}]","",RX,
05/06/2025,"Bar Hanging Test","PLEASE LOG your times. We are looking for a starting point to see our improvement with grip strength connected to OVERALL STRENGTH. Dont overthink this... get it doneREMEMBER: Simple DOESNT mean EASY!!!!",95,"1:35","","","[{""secs"":35,""mins"":1}]","",RX,
05/06/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm3:15 pm   CANCELLED TODAY SchoolBus Project4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
05/06/2025,"Deadlift 7x3","Every 2 mins NO MIX grip. We are working on grip strength, so palms facing you.Deadlift for load: (DEAD STOP) (60-75% of 1 RM)7x3",105,"105","Load","Deadlift","[{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":90,""success"":true},{""load"":90,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":105,""success"":true}]","",SCALED,
05/12/2025,"Conditioning","For Time90/66 Cal Bike21 Power Snatches 135/95lbs60/44 Cal Bike15 Power Snatch 135/95lbs30/22 Cal Bike9 Power Snatches 135/95lbs15/11 Cal Bike6 Power Snatches 135/95lbsFeel: GasPace: Sustain",1732,"28:52","","","[{""secs"":52,""mins"":28}]","",SCALED,
05/17/2025,"Overhead Squat 4x8","Overhead Squat for load: #1: 8 reps #2: 8 reps #3: 8 reps #4: 8 reps",35,"35","Load","Overhead Squat","[{""load"":1,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true},{""load"":35,""success"":true}]","",SCALED,
05/17/2025,"Overhead Lunge 3x16","Overhead Lunge for load: #1: 16 reps #2: 16 reps #3: 16 reps",4,"4","Load","Overhead Lunge","[{""success"":true,""load"":4},{""success"":true,""load"":4},{""load"":4,""success"":true}]","",SCALED,
05/17/2025,"Nickles and Dimes","EMOM x 105 pulls up10 pushups",600,"10:00","","","[{""mins"":10}]","",SCALED,
05/17/2025,"Power Snatch 5x3","Power Snatch for load: #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps",25,"25","Load","Power Snatch","[{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true}]","",SCALED,PR
05/17/2025,"Front Squat 4x8","Front Squat for load: #1: 8 reps #2: 8 reps #3: 8 reps #4: 8 reps",45,"45","Load","Front Squat","[{""load"":35,""success"":true},{""load"":45,""success"":true},{""load"":45,""success"":true},{""load"":15,""success"":true}]","",SCALED,
05/17/2025,"Hang Power Clean 5x3","Hang Power Clean for load: #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps",25,"25","Load","Hang Power Clean","[{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true},{""load"":25,""success"":true}]","",SCALED,PR
05/19/2025,"Strength","Every 3:00 for 4 Rounds:45 Double KB Front Rack CarryWe are looking for a traditional KB front rack in which your arms are tight to your rib cage, and the bells rest between the biceps and forearms. Interlocking fingers can help if youre struggling to keep the bells up in this style of carry. The weight should be challenging, but always UB.",18,"18","Load","","[{""load"":18,""success"":true}]","",SCALED,
05/19/2025,"Conditioning","10 Rounds for time 5 Deadlifts 245/165lbs30 Double Unders 3 Bar Muscle UpsFeel: Cardio Pacing: Sustain",1040,"17:20","","","[{""secs"":20,""mins"":17}]","",SCALED,
05/27/2025,"Conditioning","Every 2 Minutes for 30 Minutes, rotating machines:- Row- 300m run - BikeWork for 1:20, rest for :40, rotating until 15 rounds (5 on each machine) are complete.Score is total CaloriesFeel: CardioPace: Sustain",122,"122","Calories","","[{""calories"":122}]","",RX,
06/03/2025,"Conditioning","6 Sets10 Floor DB PressRest 2:00",30,"30","Load","","[{""load"":30,""success"":true}]","",SCALED,
06/03/2025,"Conditioning","AMRAP 6 Minutes 3 Wall Walks 15/12 Calorie RowFeel: GasPacing: Sustain",3.003,"3+3","Rounds + Reps","","[{""rnds"":3,""reps"":3}]","",SCALED,
06/03/2025,"Strength/Skill","For weight* (see scoring note)Every 2:00 for 9 sets1 Hang Squat Clean1 Front Squat1 Split JerkStart around 65-70% of your 1RM Squat Clean and Jerk. Add weight each round, going as heavy as possible. Score: the sum of your heaviest 3 lifts (e.g. 150+155+165 = 470lbs)",65,"65","Load","","[{""load"":55,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true}]","",SCALED,
06/13/2025,"Strength","6 Rounds1 Smooth Set of Wall WalksRest 2:00If the number is less than 4 reps for all rounds, you may take your time to get to 4. If the number is more than 8 reps, work on dialing in number of steps while speeding up.",3,"3","Reps","","[{""reps"":3}]","",SCALED,
06/13/2025,"NATE","As many rounds as possible in 20 minutes:•2 Muscle-ups•4 Handstand Push-ups•8 2-Pood Kettlebell swingsStory: https://www.crossfit.com/workout/2008/02/12#/commentsWho they are: https://www.crossfit.com/heroes",9.002,"9+2","Rounds + Reps","","[{""rnds"":9,""reps"":2}]","",SCALED,PR
06/17/2025,"Annie goes for a bike ride or a RUN","50-40-30-20-10 reps for time of:• Double-Unders• Sit-ups• 25-20-15-10-5 Cal BIKE (400m RUN)",1394,"23:14","","","[{""secs"":14,""mins"":23}]","",SCALED,PR
06/18/2025,"Isabel","30 reps for time of:• Snatch 135/95#",310,"5:10","","","[{""secs"":10,""mins"":5}]","55lb",SCALED,PR
06/18/2025,"Grace","30 reps for time of:• Clean & Jerk 135/95#",345,"5:45","","","[{""secs"":45,""mins"":5}]","75 20 reps55 10 reps ",SCALED,PR
06/24/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
06/24/2025,"Jackie","For time:• 1000m row• 50 Thruster 45/35#• 30 Pull-ups",997,"16:37","","","[{""secs"":37,""mins"":16}]","",SCALED,PR
06/26/2025,"Clean & Jerk 6x2","Clean & Jerk for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps #6: 2 reps",75,"75","Load","Clean & Jerk","[{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":75,""success"":true},{""load"":75,""success"":true},{""load"":75,""success"":true}]","Push at the end ends with a squat which makes the bar lighter. Can start with 75 next ",SCALED,PR
06/26/2025,"Grettel","10 rounds for time of:3 clean and jerks3 burpees over the bar♀ 95 lb. ♂ 135 lb.",730,"12:10","","","[{""secs"":10,""mins"":12}]","",SCALED,PR
06/27/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
06/27/2025,"MICHAEL","3 rounds for time of:• Run 800 meters• 50 Back Extensions• 50 Sit-upsWho they are: https://www.crossfit.com/heroes",1807,"30:07","","","[{""secs"":7,""mins"":30}]","",RX,PR
06/28/2025,"Pendlay Row 6x4","Pendlay Row for load: Rest 2 minutes between setsModerate to Heavy weight",95,"95","Load","Pendlay Row","[{""load"":75,""success"":true},{""load"":75,""success"":true},{""load"":75,""success"":true},{""load"":75,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true}]","",RX,
06/28/2025,"Class Times","7:00 am Weightlifting9:00 am Open Gym/Class",420,"7:00","","","[{""secs"":0,""mins"":7}]","",RX,
06/28/2025,"Snatch Grip Push Press 4x8","Snatch Grip Push Press for load:2-3 minute rest between setsWeight should feel challenging on the last few reps",65,"65","Load","Snatch Grip Push Press","[{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true}]","",RX,
06/30/2025,"Brown Sugar","400m Run Back Squat (135/95lb)20-19-18-17-16-15-14-13-12-11-10-9-8-7-6-5-4-3-2-1*Scaling options for run are Bike or Row (alt. each set)",3319,"55:19","","","[{""secs"":19,""mins"":55}]","200m run for 18 and 400 m run for 255lb back squat ",SCALED,
06/30/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm6:30 pm Power Hour",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/01/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/02/2025,"25 Minute EMOM","WOD: 25 Minute EMOMMinute 1:12 Goblet Squat (53/44)Minute 2:30 Second PlankMinute 3:12 Russian Kettlebell SwingsMinute 4:20 Leg RaiseMinute 5:20 Jumping Lunges",20,"20","Reps","","[{""reps"":20},{""reps"":20},{""reps"":20},{""reps"":20},{""reps"":20}]","White band kettlebell ",SCALED,
07/02/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/02/2025,"July Plate Pinch Challenge","Plate Pinch Challenge 2 plates at a time 45lb is RX",16,"0:16","","","[{""secs"":16,""mins"":0}]","",SCALED,
07/03/2025,"July Plate Pinch Challenge","Plate Pinch Challenge 2 plates at a time 45lb is RX",28,"0:28","","","[{""secs"":28}]","",RX,
07/03/2025,"Hang Nickles and Dimes","EMOM x 5:20-:30 Chin Over Bar Holds5-7 pushups",10,"0:10","","","[{""secs"":10}]","",SCALED,
07/03/2025,"EMOM x 42 Mins","1: 10 Deadlifts (135/95)2: 10 Power Cleans(135/95)3: 10 Front Squats (135/95)4: 10 Push Press (135/95)5: 10 Burpees6: 10 Cal Row",55,"55","Load","","[{""load"":55,""success"":true}]","",SCALED,
07/04/2025,"4th of July 1776","4 Rounds for time:300m Run24 Toes to Bar24 Box Jumps (24/20)24 Goblet Squats (24kg/20kg)24 Hand Release Push-ups24 Cal Bike/Row ( Alt. each round)24 Air squats",3202,"53:22","","","[{""secs"":22,""mins"":53}]","I think",SCALED,
07/04/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you8:00 am9:30 amHAPPY 4TH! Be Safe! Be Kind!",480,"8:00","","","[{""secs"":0,""mins"":8}]","",RX,
07/07/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/07/2025,"DG","Complete as many rounds as possible in 10 minutes of:8 Toes to bar8 DB Thruster (50/35)12 DB Farmer Carry walking lunge (50/35)",5,"5","Rounds + Reps","","[{""rnds"":5,""reps"":0}]","",SCALED,PR
07/07/2025,"Pendlay Row 6x4","Axel Bar Pendlay Row for load: 12 minsE2MOM (2 minutes) liftModerate to Heavy weightAxel bar is 25lb",105,"105","Load","Pendlay Row","[{""load"":85,""success"":true},{""load"":105,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true}]","",RX,PR
07/09/2025,"July Plate Pinch Challenge","Plate Pinch Challenge 2 plates at a time 45lb/25lb  is RX",31,"0:31","","","[{""secs"":31}]","",RX,
07/09/2025,"Zercher Step-Back Lunges","Zercher Step-Back Lunges5x10#1: 10 (5/5 ea side)#2: 10 (5/5 ea side)#3: 10 (5/5 ea side)#4: 10 (5/5 ea side)#5: 10 (5/5 ea side)*Note: The axle bars weight is 25lbSuper Set: Jumping Lunges 10 (5/5)",45,"45","Load","","[{""load"":45,""success"":true}]","",RX,
07/09/2025,"Zercher Squats 5x7","Zercher Squats for load: (Axle Bar is coming from the ground) #1: 7 reps #2: 7 reps #3: 7 reps #4: 7 reps #5: 7 repsSuper Set: 3 Wall Walks2 min rest after each Super Set*Note: The axle bars weight is 25lbSuper Set: 3 Wall Walks",65,"65","Load","Zercher Squats","[{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true},{""load"":65,""success"":true}]","",RX,
07/09/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/10/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/11/2025,"July Plate Pinch Challenge","Plate Pinch Challenge 2 plates at a time 45lb/25lb  is RX",20,"0:20","","","[{""secs"":20}]","",RX,
07/11/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/11/2025,"31 HEROES","AMRAP 31 minutes:• 8 Thrusters (155/105#)• 6 Rope Climbs (15 ft. ascent)• 11 Box Jumps (30/24″)This is a Partner WOD – Partner #1 will perform the work listed above. Partner #2 will run 400m with a sandbag (45/25). Once Partner #2 returns from the run, Partner #1 will grab the sandbag and begin their 400m, while Partner #2 continues work wherever #1 left off.Who they are: https://www.crossfit.com/heroes",12,"12","Reps","","[{""reps"":12}]","",SCALED,PR
07/16/2025,"Partner Chipper","100 Double Unders80 Wall Balls (20/14)60 Box Jump Overs (24/20)40 Ground to Overhead (135/95)20 Burpee Pull-ups40 Ground to Overhead60 Box Jump Over80 Wall Balls100 Double UndersYOU GO...I GO!!!30 Min Time CapWeight Options:75/5595/65135/95",1470,"24:30","","","[{""secs"":30,""mins"":24}]","I think it was 24, don’t remember the exact number ",SCALED,
07/16/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/18/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",555,"9:15","","","[{""secs"":15,""mins"":9}]","",RX,
07/18/2025,"Run 1 mile","Run 1 mile",525,"8:45","","","[{""secs"":45,""mins"":8}]","",RX,PR
07/18/2025,"JT","21-15-9 reps of:• Handstand push-ups• Ring dips• Push-upsWho they are: https://www.crossfit.com/heroes",982,"16:22","","","[{""secs"":22,""mins"":16}]","",SCALED,PR
07/22/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
07/22/2025,"Zercher Squats 6x3","Zercher Squats for load: #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps #6: 3 repsSuperset: 1 unbroken set of wall walks 2 min REST",75,"75","Load","Zercher Squats","[{""load"":75,""success"":true},{""load"":75,""success"":true},{""load"":75,""success"":true},{""success"":true,""load"":75},{""load"":75,""success"":true},{""load"":75,""success"":true}]","",RX,
07/22/2025,"The Weighted Gorilla Crawl","Strength/Core training:AMRAP in 6 mins with a Partner25ft Bear Crawl with HEAVY DBsYou go...I go! (SAME DBs per team)GET AFTER IT",25,"25","Load","","[{""load"":25,""success"":true}]","19 rounds ",RX,
07/31/2025,"Deadlift 5x2","Deadlift for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 repsSuper Set: After completing your 2-rep deadlift, hold the bar for as long as possible.Rest 2 mins",125,"125","Load","Deadlift","[{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true}]","20 second hold ",RX,
07/31/2025,"Zercher Squats 6x2","Axel Bar Zercher Squats for load: #1: 2 reps #2: 2 reps #3: 2 reps #4: 2 reps #5: 2 reps #6: 2 repsFeel: Heavy Superset: 1 unbroken set of Leg Raise into Toe Touch 1-1:30 min REST",105,"105","Load","Zercher Squats","[{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true}]","",RX,PR
07/31/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
08/01/2025,"TOMMY V","For time:• 115/80 pound Thruster, 21 reps• 15 ft Rope Climb, 12 ascents• 115/80 pound Thruster, 15 reps• 15 ft Rope Climb, 9 ascents• 115/80 pound Thruster, 9 reps• 15 ft Rope Climb, 6 ascentsWho they are: https://www.crossfit.com/heroes",1015,"16:55","","","[{""secs"":55,""mins"":16}]","65 lb Heavily scaled rope climbs(knees to elbow mostly)",SCALED,PR
08/01/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
08/06/2025,"Partner Ham Hawk","Axel Bar Deadlift Ladder (155/115)20-19-18-17-16-15-14-13-12-11-10-9-8-7-6-5-4-3-2-1 (Finished at 1.)400m Bike P1 and P2 share the DL reps Each partner needs to complete 400m on a Bike before going to the next set25 burpee penalty for using mix grip during each set50 mins Hard CAP",2072,"34:32","","","[{""secs"":32,""mins"":34}]","105, can go 10-15 higher ",SCALED,
08/06/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
08/09/2025,"Shoulder Press 4x5","Shoulder Press for load: #1: 5 reps #2: 5 reps #3: 5 reps #4: 5 reps",60,"60","Load","Shoulder Press","[{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":60,""success"":true},{""load"":60,""success"":true}]","",SCALED,PR
08/09/2025,"Zercher Squats 4x7","Zercher Squats for load: #1: 7 reps #2: 7 reps #3: 7 reps #4: 7 reps",105,"105","Load","Zercher Squats","[{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true}]","Tried 125 but could not get to 7 reps",SCALED,
08/09/2025,"Bench Press 3x10","Bench Press for load: #1: 10 reps #2: 10 reps #3: 10 reps",50,"50","Load","Bench Press","[{""load"":50,""success"":true},{""load"":50,""success"":true},{""load"":50,""success"":true}]","",SCALED,
08/11/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
08/13/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
08/13/2025,"Conditioning","AMRAP 8 Minutes10 DB Goblet Squats (44/35lb)20 Walking Lunges (10/10):30 Wall Sit",3.015,"3+15","Rounds + Reps","","[{""rnds"":3,""reps"":15}]","",SCALED,
08/13/2025,"Zercher Squats 8x3","Zercher Squats for load: #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps #6: 3 reps #7: 3 reps #8: 3 repsSuperset: 8 Seated Box Jumps1-1:30 min REST",85,"85","Load","Zercher Squats","[{""load"":85,""success"":true},{""success"":true,""load"":85},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true}]","",SCALED,PR
08/15/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
08/20/2025,"Pump Sweat","AMRAP x 25 mins10/7 cal Bike 10 BB Curls10 BB Strict Press10 BB Front Squat",7.01,"7+10","Rounds + Reps","","[{""rnds"":7,""reps"":10}]","",RX,
08/20/2025,"Bear Complex","5 Rounds for Max Load: 12 mins to complete (you can build each round)Each round is 5 unbroken sets of:• 1 Power Clean• 1 Front Squat• 1 Push Press• 1 Back Squat• 1 Push PressYou must hold on to the bar for the entire round.",115,"115","Load","","[{""load"":95,""success"":true},{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true}]","",RX,PR
08/25/2025,"Run/Bike","AMRAP x 45 mins400m Run10 Axle Bar DL (125/95)400m Bike10 Bulgarian Split Squat (5/5) (35/25)",7.8100000000000005,"7+810","Rounds + Reps","","[{""rnds"":7,""reps"":810}]","7 rounds8th round in progress with only squats skipped105lb DL20lb DB Squats ",SCALED,
08/25/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
09/05/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
09/05/2025,"JERRY","•Run 1 mile•Row 2K•Run 1 mileWho they are: https://www.crossfit.com/heroes",1799,"29:59","","","[{""secs"":59,""mins"":29}]","",RX,PR
09/06/2025,"Back Pause Squat 3x14","Back Pause Squat for load: #1: 14 reps #2: 14 reps #3: 14 reps",95,"95","Load","Back Pause Squat","[{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":95,""success"":true}]","Had to stop at 10 reps for the last set ",RX,
09/09/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
09/09/2025,"Bench Press 3x8","Bench Press for load: (Same Load for all 3 set from your heaviest bar) Immediately reduce the weight by 30-20 pounds (same weight for all 3 sets) #1: 8 reps #2: 8 reps #3: 8 reps Rest for 30-60 seconds between sets.Preform: 3 sets of a Drop Set Precautions:Use proper form to avoid injuries.Start with lighter weights if you are new to drop sets.Rest for 30-60 seconds between sets.Do not push yourself too hard if you are fatigued.Example Drop Set:Bench Press:Set 1: 100 pounds for 8 repsSet 2: 100 pounds for 8 repsSet 3: 100 pounds for 8 repsHow to Perform a Drop Set:Choose a weight that you can lift for 8-12 repetitions. Immediately reduce the weight by 30-20 pounds and perform as many repetitions as possible. Benefits of Drop Sets:Increased muscle hypertrophy (muscle growth), Improved muscular endurance, Enhanced metabolic rate, and Increased time under tension (TUT).  Precautions:Use proper form to avoid injuries.Start with lighter weights if you are new to drop sets.Rest for 30-60 seconds between sets.Do not push yourself too hard if you are fatigued.",95,"95","Load","Bench Press","[{""load"":95,""success"":true},{""load"":95,""success"":true},{""load"":85,""success"":true}]","",RX,
09/09/2025,"Bench Press 5x3","Bench Press for load: #1: 3 reps #2: 3 reps (5-10 pounds) Last weight change If you want #3: 3 reps (Working weight) #4: 3 reps (Working weight) #5: 3 reps (Working weight)  Stimulus: Difficult, but doable NO FAIL SETSRPE: 8 (RPR definition is in Athletes Notes)Rest: 1 min",105,"105","Load","Bench Press","[{""load"":105,""success"":true},{""load"":105,""success"":true},{""success"":true,""load"":105},{""load"":105,""success"":true},{""load"":105,""success"":true}]","",RX,
09/09/2025,"Conditioning","10 rounds for time5 Toes to Bar8 S-DB Step Ups 70/50lbs to 20""10 min Time CapFeel: CardioPace: Sustain",585,"9:45","","","[{""secs"":45,""mins"":9}]","35 lb db ",RX,
09/10/2025,"Focus for Fall","We will be focused on STRENGTH all fall. Workouts will look a little different as the first portion of class will be focused solely on getting stronger. When loading your bar it is VERY IMPORTANT to pick a weight that is challenging. When picking your working weight you want to get to a number that, by the time you reach the final rep, you would only be able to do 1-2 more reps before failure. This is where strength and muscle growth happen. You DO NOT want to fail a rep during training. As you progress from week to week, the weights you pick need to increase so you can get stronger.",2,"2","Emoji Selection","","[{""index"":2}]","",RX,
09/12/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
09/12/2025,"ALEXANDER","5 rounds for time of:• 31 back squats, 135/95 lb. (off the Rack)• 12 power cleans, 185/125 lb.35 Min Time Cap",2100,"35:00","","","[{""mins"":35}]","Only did  4 rounds 75 lb back squat75 lb power clean ",SCALED,PR
09/18/2025,"Strength Walk","5 rounds for load:100 Unbroken Farmers Carry AHAPRest 2 minutes between setsUse the heaviest weight possible that can be done unbroken, but barely. (KB or DB)Stimulus: Heavy",70,"70","Load","","[{""load"":70,""success"":true}]","",RX,
09/18/2025,"Deadlift 3x8","Deadlift for load: (SMOOTH not fast or slow touch and go)Immediately reduce the weight by 20-30 pounds (SAME weight for all sets) #1: 8 reps #2: 8 reps #3: 8 reps Superset:  20 DB Calf Raise off a plate Rest for 30-60 seconds between sets. Preform: 3 sets of a Drop Set",135,"135","Load","Deadlift","[{""load"":135,""success"":true},{""load"":135,""success"":true},{""load"":135,""success"":true}]","",RX,
09/18/2025,"Deadlift 5x3","Deadlift for load: SMOOTH UP and DOWN  #1: 3 reps #2: 3 reps (5-10 pounds) Last weight change if you want #3: 3 reps (Working weight) #4: 3 reps (Working weight) #5: 3 reps (Working weight) NO Touch and Go/NO Mix GripStimulus: Difficult, but doable Rest: 1 min Stimulus: Difficult, but doable NO FAIL SETSRPE: 8 (RPR definition is in Athletes Notes)Rest: 1 min",155,"155","Load","Deadlift","[{""load"":155,""success"":true},{""load"":155,""success"":true},{""load"":155,""success"":true},{""load"":155,""success"":true},{""load"":155,""success"":true}]","",RX,
